,code,n_k_d,time_steps,error_model,decoder,error_probability,measurement_error_probability,n_run,n_success,n_fail,n_logical_commutations,custom_totals,error_weight_total,error_weight_pvar,logical_failure_rate,physical_error_rate,wall_time,n,k,d,bias,decoder_chi
0,Color 6.6.6 39,"[1141, 1, 39]",1,"Biased-depolarizing (bias=300, axis='Z')",Color 6.6.6 MPS (chi=8),0.4,0.0,500,408,92,18,,228568,279.545504,0.184,0.4006450482033304,775.5287610550877,1141,1,39,300.0,8.0
1,Color 6.6.6 39,"[1141, 1, 39]",1,"Biased-depolarizing (bias=300, axis='Z')",Color 6.6.6 MPS (chi=8),0.4,0.0,500,408,92,77,,228568,279.545504,0.184,0.4006450482033304,775.5287610550877,1141,1,39,300.0,8.0
0,Color 6.6.6 39,"[1141, 1, 39]",1,"Biased-depolarizing (bias=300, axis='Z')",Color 6.6.6 MPS (chi=8),0.41111111111111115,0.0,500,394,106,23,,234810,313.6356,0.212,0.41158632778264675,775.4494940110017,1141,1,39,300.0,8.0
1,Color 6.6.6 39,"[1141, 1, 39]",1,"Biased-depolarizing (bias=300, axis='Z')",Color 6.6.6 MPS (chi=8),0.41111111111111115,0.0,500,394,106,89,,234810,313.6356,0.212,0.41158632778264675,775.4494940110017,1141,1,39,300.0,8.0
0,Color 6.6.6 39,"[1141, 1, 39]",1,"Biased-depolarizing (bias=300, axis='Z')",Color 6.6.6 MPS (chi=8),0.4222222222222222,0.0,500,358,142,26,,240419,300.387756,0.284,0.4214180543382997,771.3120597777888,1141,1,39,300.0,8.0
1,Color 6.6.6 39,"[1141, 1, 39]",1,"Biased-depolarizing (bias=300, axis='Z')",Color 6.6.6 MPS (chi=8),0.4222222222222222,0.0,500,358,142,121,,240419,300.387756,0.284,0.4214180543382997,771.3120597777888,1141,1,39,300.0,8.0
0,Color 6.6.6 39,"[1141, 1, 39]",1,"Biased-depolarizing (bias=300, axis='Z')",Color 6.6.6 MPS (chi=8),0.43333333333333335,0.0,500,370,130,20,,247555,272.1219,0.26,0.43392638036809816,771.363369314,1141,1,39,300.0,8.0
1,Color 6.6.6 39,"[1141, 1, 39]",1,"Biased-depolarizing (bias=300, axis='Z')",Color 6.6.6 MPS (chi=8),0.43333333333333335,0.0,500,370,130,114,,247555,272.1219,0.26,0.43392638036809816,771.363369314,1141,1,39,300.0,8.0
0,Color 6.6.6 39,"[1141, 1, 39]",1,"Biased-depolarizing (bias=300, axis='Z')",Color 6.6.6 MPS (chi=8),0.4444444444444445,0.0,500,354,146,28,,253357,302.600204,0.292,0.44409640666082384,750.6970679091755,1141,1,39,300.0,8.0
1,Color 6.6.6 39,"[1141, 1, 39]",1,"Biased-depolarizing (bias=300, axis='Z')",Color 6.6.6 MPS (chi=8),0.4444444444444445,0.0,500,354,146,126,,253357,302.600204,0.292,0.44409640666082384,750.6970679091755,1141,1,39,300.0,8.0
0,Color 6.6.6 39,"[1141, 1, 39]",1,"Biased-depolarizing (bias=300, axis='Z')",Color 6.6.6 MPS (chi=8),0.45555555555555555,0.0,500,340,160,23,,260113,285.870924,0.32,0.45593865030674846,697.602270537056,1141,1,39,300.0,8.0
1,Color 6.6.6 39,"[1141, 1, 39]",1,"Biased-depolarizing (bias=300, axis='Z')",Color 6.6.6 MPS (chi=8),0.45555555555555555,0.0,500,340,160,149,,260113,285.870924,0.32,0.45593865030674846,697.602270537056,1141,1,39,300.0,8.0
