,code,n_k_d,time_steps,error_model,decoder,error_probability,measurement_error_probability,n_run,n_success,n_fail,n_logical_commutations,custom_totals,error_weight_total,error_weight_pvar,logical_failure_rate,physical_error_rate,wall_time,n,k,d,bias,decoder_chi
0,Color 6.6.6 39,"[1141, 1, 39]",1,"Biased-depolarizing (bias=500, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0,500,500,0,0,,142842,215.824144,0,0.2503803681,761.7259454,1141,1,39,500,8
1,Color 6.6.6 39,"[1141, 1, 39]",1,"Biased-depolarizing (bias=500, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0,500,500,0,0,,142842,215.824144,0,0.2503803681,761.7259454,1141,1,39,500,8
0,Color 6.6.6 43,"[1387, 1, 43]",1,"Biased-depolarizing (bias=500, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0,500,500,0,0,,173666,254.009776,0,0.2504196107,948.3523979,1387,1,43,500,8
1,Color 6.6.6 43,"[1387, 1, 43]",1,"Biased-depolarizing (bias=500, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0,500,500,0,0,,173666,254.009776,0,0.2504196107,948.3523979,1387,1,43,500,8
0,Color 6.6.6 47,"[1657, 1, 47]",1,"Biased-depolarizing (bias=500, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0,500,500,0,0,,207040,333.2096,0,0.2498974049,1193.211021,1657,1,47,500,8
1,Color 6.6.6 47,"[1657, 1, 47]",1,"Biased-depolarizing (bias=500, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0,500,500,0,0,,207040,333.2096,0,0.2498974049,1193.211021,1657,1,47,500,8
0,Color 6.6.6 51,"[1951, 1, 51]",1,"Biased-depolarizing (bias=500, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0,500,500,0,0,,243468,374.763904,0,0.2495827781,1483.859495,1951,1,51,500,8
1,Color 6.6.6 51,"[1951, 1, 51]",1,"Biased-depolarizing (bias=500, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0,500,500,0,0,,243468,374.763904,0,0.2495827781,1483.859495,1951,1,51,500,8
0,Color 6.6.6 39,"[1141, 1, 39]",1,"Biased-depolarizing (bias=300, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0,500,500,0,0,,142074,228.586096,0,0.2490341805,775.2966042,1141,1,39,300,8
1,Color 6.6.6 39,"[1141, 1, 39]",1,"Biased-depolarizing (bias=300, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0,500,500,0,0,,142074,228.586096,0,0.2490341805,775.2966042,1141,1,39,300,8
0,Color 6.6.6 43,"[1387, 1, 43]",1,"Biased-depolarizing (bias=300, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0,500,500,0,0,,174138,263.415824,0,0.2511002163,970.1924029,1387,1,43,300,8
1,Color 6.6.6 43,"[1387, 1, 43]",1,"Biased-depolarizing (bias=300, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0,500,500,0,0,,174138,263.415824,0,0.2511002163,970.1924029,1387,1,43,300,8
0,Color 6.6.6 47,"[1657, 1, 47]",1,"Biased-depolarizing (bias=300, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0,500,500,0,0,,207142,315.535344,0,0.250020519,1189.434679,1657,1,47,300,8
1,Color 6.6.6 47,"[1657, 1, 47]",1,"Biased-depolarizing (bias=300, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0,500,500,0,0,,207142,315.535344,0,0.250020519,1189.434679,1657,1,47,300,8
0,Color 6.6.6 51,"[1951, 1, 51]",1,"Biased-depolarizing (bias=300, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0,500,500,0,0,,243866,388.724176,0,0.249990774,1425.514884,1951,1,51,300,8
1,Color 6.6.6 51,"[1951, 1, 51]",1,"Biased-depolarizing (bias=300, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0,500,500,0,0,,243866,388.724176,0,0.249990774,1425.514884,1951,1,51,300,8
0,Color 6.6.6 39,"[1141, 1, 39]",1,"Biased-depolarizing (bias=500, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0,500,500,0,0,,142837,210.919724,0,0.2503716039,757.4444296,1141,1,39,500,8
1,Color 6.6.6 39,"[1141, 1, 39]",1,"Biased-depolarizing (bias=500, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0,500,500,0,0,,142837,210.919724,0,0.2503716039,757.4444296,1141,1,39,500,8
0,Color 6.6.6 43,"[1387, 1, 43]",1,"Biased-depolarizing (bias=500, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0,500,500,0,0,,173412,248.741024,0,0.2500533526,941.4162062,1387,1,43,500,8
1,Color 6.6.6 43,"[1387, 1, 43]",1,"Biased-depolarizing (bias=500, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0,500,500,0,0,,173412,248.741024,0,0.2500533526,941.4162062,1387,1,43,500,8
0,Color 6.6.6 47,"[1657, 1, 47]",1,"Biased-depolarizing (bias=500, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0,500,500,0,0,,207186,315.945616,0,0.250073627,1175.818418,1657,1,47,500,8
1,Color 6.6.6 47,"[1657, 1, 47]",1,"Biased-depolarizing (bias=500, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0,500,500,0,0,,207186,315.945616,0,0.250073627,1175.818418,1657,1,47,500,8
0,Color 6.6.6 51,"[1951, 1, 51]",1,"Biased-depolarizing (bias=500, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0,500,500,0,0,,243975,360.6795,0,0.2501025115,1406.03001,1951,1,51,500,8
1,Color 6.6.6 51,"[1951, 1, 51]",1,"Biased-depolarizing (bias=500, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0,500,500,0,0,,243975,360.6795,0,0.2501025115,1406.03001,1951,1,51,500,8
0,Color 6.6.6 39,"[1141, 1, 39]",1,"Biased-depolarizing (bias=300, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0,500,499,1,0,,142797,196.053164,0.002,0.2503014899,777.4579543,1141,1,39,300,8
1,Color 6.6.6 39,"[1141, 1, 39]",1,"Biased-depolarizing (bias=300, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0,500,499,1,1,,142797,196.053164,0.002,0.2503014899,777.4579543,1141,1,39,300,8
0,Color 6.6.6 43,"[1387, 1, 43]",1,"Biased-depolarizing (bias=300, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0,500,499,1,0,,173691,248.884076,0.002,0.2504556597,971.1412914,1387,1,43,300,8
1,Color 6.6.6 43,"[1387, 1, 43]",1,"Biased-depolarizing (bias=300, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0,500,499,1,1,,173691,248.884076,0.002,0.2504556597,971.1412914,1387,1,43,300,8
0,Color 6.6.6 47,"[1657, 1, 47]",1,"Biased-depolarizing (bias=300, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0,500,500,0,0,,207149,282.589196,0,0.250028968,1194.703705,1657,1,47,300,8
1,Color 6.6.6 47,"[1657, 1, 47]",1,"Biased-depolarizing (bias=300, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0,500,500,0,0,,207149,282.589196,0,0.250028968,1194.703705,1657,1,47,300,8
0,Color 6.6.6 51,"[1951, 1, 51]",1,"Biased-depolarizing (bias=300, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0,500,500,0,0,,243617,375.511244,0,0.2497355202,1431.739915,1951,1,51,300,8
1,Color 6.6.6 51,"[1951, 1, 51]",1,"Biased-depolarizing (bias=300, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0,500,500,0,0,,243617,375.511244,0,0.2497355202,1431.739915,1951,1,51,300,8
0,Color 6.6.6 39,"[1141, 1, 39]",1,"Biased-depolarizing (bias=500, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0,500,500,0,0,,143260,217.2296,0,0.2511130587,758.1203127,1141,1,39,500,8
1,Color 6.6.6 39,"[1141, 1, 39]",1,"Biased-depolarizing (bias=500, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0,500,500,0,0,,143260,217.2296,0,0.2511130587,758.1203127,1141,1,39,500,8
0,Color 6.6.6 43,"[1387, 1, 43]",1,"Biased-depolarizing (bias=500, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0,500,500,0,0,,173752,257.537984,0,0.2505436193,943.9507777,1387,1,43,500,8
1,Color 6.6.6 43,"[1387, 1, 43]",1,"Biased-depolarizing (bias=500, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0,500,500,0,0,,173752,257.537984,0,0.2505436193,943.9507777,1387,1,43,500,8
0,Color 6.6.6 47,"[1657, 1, 47]",1,"Biased-depolarizing (bias=500, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0,500,500,0,0,,207883,299.723244,0,0.2509149065,1170.000086,1657,1,47,500,8
1,Color 6.6.6 47,"[1657, 1, 47]",1,"Biased-depolarizing (bias=500, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0,500,500,0,0,,207883,299.723244,0,0.2509149065,1170.000086,1657,1,47,500,8
0,Color 6.6.6 51,"[1951, 1, 51]",1,"Biased-depolarizing (bias=500, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0,500,500,0,0,,244481,383.572556,0,0.2506212199,1407.896299,1951,1,51,500,8
1,Color 6.6.6 51,"[1951, 1, 51]",1,"Biased-depolarizing (bias=500, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0,500,500,0,0,,244481,383.572556,0,0.2506212199,1407.896299,1951,1,51,500,8
0,Color 6.6.6 39,"[1141, 1, 39]",1,"Biased-depolarizing (bias=500, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0,500,500,0,0,,142605,194.2699,0,0.249964943,757.7962184,1141,1,39,500,8
1,Color 6.6.6 39,"[1141, 1, 39]",1,"Biased-depolarizing (bias=500, axis='Z')",Color 6.6.6 MPS (chi=8),0.25,0,500,500,0,0,,142605,194.2699,0,0.249964943,757.7962184,1141,1,39,500,8
