,code,n_k_d,time_steps,error_model,decoder,error_probability,measurement_error_probability,n_run,n_success,n_fail,n_logical_commutations,custom_totals,error_weight_total,error_weight_pvar,logical_failure_rate,physical_error_rate,wall_time,n,k,d,bias,decoder_chi
0,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=12),0.25,0.0,3000,2989,11,7,,1138841,283.71841322222224,0.0036666666666666666,0.2499102479701558,13726.120080721099,1519,1,45,50.0,12.0
1,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=12),0.25,0.0,3000,2989,11,4,,1138841,283.71841322222224,0.0036666666666666666,0.2499102479701558,13726.120080721099,1519,1,45,50.0,12.0
0,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=12),0.25,0.0,3000,2990,10,8,,1139892,292.602704,0.0033333333333333335,0.25014088215931535,13740.001310227904,1519,1,45,50.0,12.0
1,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=12),0.25,0.0,3000,2990,10,2,,1139892,292.602704,0.0033333333333333335,0.25014088215931535,13740.001310227904,1519,1,45,50.0,12.0
0,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=12),0.25,0.0,3000,2983,17,13,,1139933,286.7225012222222,0.005666666666666667,0.25014987930656135,15190.208932265872,1519,1,45,50.0,12.0
1,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=12),0.25,0.0,3000,2983,17,4,,1139933,286.7225012222222,0.005666666666666667,0.25014987930656135,15190.208932265872,1519,1,45,50.0,12.0
0,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=12),0.25,0.0,3000,2985,15,9,,1138313,278.70078122222225,0.005,0.24979438226903664,15299.412945064949,1519,1,45,50.0,12.0
1,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=12),0.25,0.0,3000,2985,15,6,,1138313,278.70078122222225,0.005,0.24979438226903664,15299.412945064949,1519,1,45,50.0,12.0
0,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=12),0.25,0.0,3000,2988,12,6,,1140394,281.78875155555556,0.004,0.25025104235242485,13731.996848881943,1519,1,45,50.0,12.0
1,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=12),0.25,0.0,3000,2988,12,6,,1140394,281.78875155555556,0.004,0.25025104235242485,13731.996848881943,1519,1,45,50.0,12.0
0,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=12),0.25,0.0,3000,2985,15,13,,1139150,294.8690555555556,0.005,0.2499780557384244,15302.985362323001,1519,1,45,50.0,12.0
1,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=12),0.25,0.0,3000,2985,15,2,,1139150,294.8690555555556,0.005,0.2499780557384244,15302.985362323001,1519,1,45,50.0,12.0
0,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=12),0.25,0.0,3000,2988,12,8,,1139565,293.599975,0.004,0.2500691244239631,14456.88233247702,1519,1,45,50.0,12.0
1,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=12),0.25,0.0,3000,2988,12,5,,1139565,293.599975,0.004,0.2500691244239631,14456.88233247702,1519,1,45,50.0,12.0
0,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=12),0.25,0.0,3000,2982,18,12,,1140620,285.5592888888889,0.006,0.2503006363835857,13455.951677409932,1519,1,45,50.0,12.0
1,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=12),0.25,0.0,3000,2982,18,6,,1140620,285.5592888888889,0.006,0.2503006363835857,13455.951677409932,1519,1,45,50.0,12.0
0,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=12),0.25,0.0,3000,2980,20,11,,1137783,283.480879,0.006666666666666667,0.24967807768268596,13737.247397389961,1519,1,45,50.0,12.0
1,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=12),0.25,0.0,3000,2980,20,10,,1137783,283.480879,0.006666666666666667,0.24967807768268596,13737.247397389961,1519,1,45,50.0,12.0
0,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=12),0.25,0.0,3000,2981,19,12,,1137527,292.32414122222224,0.006333333333333333,0.24962190037305246,15345.07313550217,1519,1,45,50.0,12.0
1,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=12),0.25,0.0,3000,2981,19,7,,1137527,292.32414122222224,0.006333333333333333,0.24962190037305246,15345.07313550217,1519,1,45,50.0,12.0
0,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=12),0.25,0.0,3000,2989,11,6,,1140029,280.2982398888889,0.0036666666666666666,0.2501709457976739,15264.478748924797,1519,1,45,50.0,12.0
1,Color 6.6.6 45,"[1519, 1, 45]",1,"Biased-depolarizing (bias=50, axis='Z')",Color 6.6.6 MPS (chi=12),0.25,0.0,3000,2989,11,6,,1140029,280.2982398888889,0.0036666666666666666,0.2501709457976739,15264.478748924797,1519,1,45,50.0,12.0
